ZCTA5CE20,Latitude,Longitude,Crow_Flies_Distance_km,Car_Distance_km,Car_Duration_min,Car_Error,Transit_Distance_km,Transit_Duration_min,Transit_Error,Number_People_in_Zip
42701,37.7032391,-85.8395475,787.59,990.47,550.4,,,,No route found,1
20851,39.0780702,-77.1208381,17.64,21.45,30.7,,40.26,105,,2
21045,39.2060417,-76.8282341,26.7,34.65,35.4,,65.55,144,,10
20721,38.9152216,-76.7851292,16.62,25.12,28.9,,,,No route found,5
21075,39.2030901,-76.7507164,29.78,36.39,36.2,,58.15,139,,8
20677,38.495253,-77.036717,55.11,79.08,70.4,,,,No route found,2
21228,39.2728571,-76.7477405,36.46,44.79,43.1,,70.93,117,,11
21236,39.3882308,-76.4836849,60.31,72.38,63.3,,99.27,159,,1
20705,39.047104,-76.8980792,8.28,12.04,21.1,,19.35,51,,7
20706,38.9658805,-76.8510916,9.19,14.38,18.3,,16.37,70,,13
21093,39.4379729,-76.6421727,56.92,71.25,63.2,,101.28,151,,1
21144,39.1205705,-76.6776205,28.13,35.89,41.4,,,,No route found,9
21076,39.1714019,-76.7233409,28.61,40.72,38.8,,,,No route found,7
21146,39.0791362,-76.5586985,35.66,47.99,51.1,,78.6,172,,5
20613,38.6711682,-76.8053038,37.37,54.48,46.3,,,,No route found,4
21754,39.3321139,-77.316213,49.51,60.72,53.1,,,,No route found,1
20833,39.210355,-77.0616217,26.55,32.56,37.3,,,,No route found,4
20895,39.0270479,-77.0775897,11.59,17.34,22.7,,22.07,57,,3
20910,39.0028598,-77.0366464,7.37,11.91,17.6,,11.23,54,,6
20745,38.805571,-76.9946544,20.44,52.45,41.4,,35.73,98,,1
21797,39.3311751,-77.0686056,39.57,60.2,49.3,,,,No route found,1
21409,39.018435,-76.4425333,44.34,54.6,42.5,,,,No route found,4
21044,39.2052742,-76.8787373,25.16,32.06,35.1,,59.71,149,,10
20784,38.9505489,-76.8917198,6.71,10.05,18.2,,14.17,64,,6
20877,39.1406014,-77.1920601,26.75,36.85,37.6,,54.31,110,,2
21742,39.6782193,-77.6527202,97.6,120.97,88.9,,,,No route found,1
21223,39.2829512,-76.6538772,41.9,46.84,44.5,,60.7,110,,1
20878,39.1126374,-77.2504363,29.18,36.43,40.2,,57.96,109,,7
21239,39.3651585,-76.5871011,52.65,61.05,62.8,,88.11,101,,2
21208,39.3839593,-76.7242608,48.41,61.46,57.5,,104.59,159,,2
20782,38.9658785,-76.9660841,2.53,4.5,11.6,,5.28,27,,9
21122,39.1142829,-76.4873942,42.72,61.68,51.7,,,,No route found,9
21061,39.1608968,-76.6321115,33.87,49.6,44.6,,100.2,147,,8
21108,39.0903071,-76.6212634,30.96,42.5,45.1,,,,No route found,4
20852,39.0515111,-77.1239735,16.36,22.36,28.9,,38.2,101,,2
20850,39.0892312,-77.1804449,22.64,28.59,30.9,,49.53,103,,8
21704,39.3548834,-77.3759022,54.77,66.08,56.8,,,,No route found,1
20886,39.1885123,-77.2051429,31.21,42.13,44.3,,64.74,134,,3
20754,38.7318073,-76.6565804,38.29,49.52,43.1,,66.91,123,,1
20744,38.745892,-76.9832014,26.89,47.23,40.2,,51.77,116,,8
20736,38.689913,-76.6172727,44.03,58.24,51.1,,,,No route found,2
20769,38.9918755,-76.8092106,12.52,14.46,21.3,,22.37,63,,2
20868,39.1258722,-76.961413,15.5,20.7,28.5,,,,No route found,1
21224,39.2759091,-76.5419279,47.94,57.32,51.5,,93.99,150,,3
21202,39.2974251,-76.6077216,45.67,52.23,51.9,,82.02,93,,2
21009,39.4714684,-76.2846365,78.93,92.33,73.8,,133.99,192,,2
21211,39.3287457,-76.6392811,46.73,56.51,55.1,,85.49,106,,1
21163,39.3375267,-76.8482467,40.07,53.06,51.5,,,,No route found,1
20743,38.883854,-76.8942318,12.54,15.94,26.9,,22.66,76,,2
20904,39.0703787,-76.9773786,9.53,14.53,21.7,,19.04,79,,6
20710,38.9416798,-76.9258763,5.56,8.12,14.4,,12.57,63,,1
20902,39.0437553,-77.042369,9.93,13.02,21,,12.78,49,,9
21157,39.548569,-76.9835578,62.54,79.54,68.1,,,,No route found,6
20854,39.032772,-77.2208298,23.62,29.48,37,,,,No route found,2
21769,39.4424641,-77.5689083,73.32,85.76,68.7,,,,No route found,1
21221,39.2921246,-76.4369949,56.05,75.45,63.5,,101.2,197,,1
20778,38.8287011,-76.5727471,37.37,53.02,46.7,,,,No route found,1
20876,39.206734,-77.233675,34.37,45.4,45.6,,67.17,134,,3
20724,39.0802701,-76.7905607,17.54,30.82,39.5,,,,No route found,5
20860,39.1509641,-77.0349624,19.57,23.91,31.7,,,,No route found,1
21230,39.268123,-76.6267164,42.15,47.58,39.5,,64.58,108,,2
21217,39.3070396,-76.6383279,44.84,52.97,50.2,,62.33,114,,1
21215,39.3459466,-76.6822058,46.32,54.08,54.9,,67.41,130,,2
21161,39.6599027,-76.5650601,82,108.49,85,,,,No route found,1
21220,39.343079,-76.3908834,62.67,78.39,65.8,,109.8,214,,2
21087,39.4493138,-76.4132403,69.4,81.63,69.3,,,,No route found,1
20770,38.9997261,-76.8891122,5.79,8.18,13.9,,10.02,43,,8
20866,39.1092797,-76.9339476,13.75,18.05,24.6,,22.32,83,,3
21113,39.0626855,-76.7124172,22.52,35.55,42,,,,No route found,7
20722,38.9345568,-76.9505961,5.8,7.55,13.2,,8.16,63,,1
20602,38.5832476,-76.8947026,45.15,63.11,55.4,,,,No route found,5
21219,39.2301923,-76.4360766,52.25,70.83,64.2,,,,No route found,2
20906,39.0872347,-77.0549522,14.18,20.02,27.4,,31.36,79,,5
20714,38.7030753,-76.5328526,48.21,60.57,52.8,,72.73,120,,1
20711,38.8010585,-76.6451073,33.77,46.83,42.9,,,,No route found,1
20882,39.2286822,-77.1626524,32.38,44.34,45.3,,67.27,146,,2
20733,38.8056527,-76.5322289,41.68,55.73,49.9,,,,No route found,1
20607,38.6733129,-77.0268402,35.41,57.21,50.5,,,,No route found,3
21204,39.4063886,-76.6260724,54.56,72,66.3,,93.95,145,,2
20735,38.7509174,-76.902669,26.58,43.55,38.2,,46.92,103,,7
21042,39.2771813,-76.8946024,32.71,46.91,48.4,,,,No route found,6
20764,38.8319413,-76.5043243,42.54,60.28,54.4,,,,No route found,2
20746,38.8364025,-76.918265,16.99,33.93,33.5,,33.38,91,,4
20601,38.6195583,-76.8560416,41.69,57.85,49.6,,,,No route found,7
21617,39.0493575,-76.044545,78.88,94.75,66.1,,,,No route found,2
21114,39.0096874,-76.6838601,23.48,36.48,36,,,,No route found,10
20603,38.6291298,-76.9755865,39.8,65.81,56.2,,71.92,128,,3
21740,39.6319055,-77.7439079,98.83,112.19,77.6,,,,No route found,1
21234,39.3932536,-76.5318217,58.03,74.41,59.5,,101.17,163,,1
21117,39.4275691,-76.7757593,51.38,68.36,65.4,,107.42,146,,4
21133,39.3783611,-76.8113362,45.26,62.14,57.3,,109.21,162,,1
21227,39.2399698,-76.6794498,36.8,43.66,39.7,,53.22,104,,2
20740,39.0027434,-76.9308045,2.69,3.62,6,,4.82,29,,10
20737,38.9623734,-76.9151911,4.3,5.96,10.1,,8.15,36,,3
20912,38.9816005,-77.0011588,4.12,5.67,11.8,,6.27,35,,3
21037,38.9192535,-76.5434919,36.28,48.21,44.1,,,,No route found,5
20781,38.9528596,-76.9462896,3.81,5.41,10.3,,5.73,53,,5
21703,39.3670313,-77.4734816,61.6,76.64,59.8,,85.33,147,,4
21286,39.4118361,-76.5732346,57.55,77.33,63.9,,97.54,156,,1
21012,39.0465618,-76.4956258,40.16,54.31,42.8,,,,No route found,4
21043,39.2558362,-76.8014909,32.7,38.91,39.9,,,,No route found,4
21401,38.9879414,-76.5527162,34.68,43.64,34.6,,56.24,126,,5
21046,39.1740578,-76.8353543,23.22,32.83,33.2,,49.69,126,,5
21619,38.9424469,-76.2657424,59.71,73.81,57,,,,No route found,2
21029,39.21356,-76.9593916,25.24,41.22,37.5,,,,No route found,1
20872,39.2992029,-77.2065608,41.02,55.37,55.1,,75.07,161,,1
21601,38.7924673,-76.0878813,78.01,109.64,75.1,,152.03,288,,1
21801,38.3494167,-75.67847,131.46,191.91,133.8,,,,No route found,1
21213,39.315031,-76.5774287,48.86,59.69,57.9,,84.38,104,,3
21225,39.2261173,-76.6157349,39.51,51.66,44.5,,94.18,161,,2
21212,39.3673064,-76.6145864,51.45,63.53,63,,73.85,135,,3
20783,38.9970672,-76.9667831,1.6,4.27,7.8,,4.47,22,,15
20794,39.1514751,-76.7947026,22.91,33.57,32.4,,44.54,110,,5
20815,38.9833856,-77.0793367,10.84,16.87,22.1,,19.98,57,,2
21793,39.4891553,-77.3442164,65.21,84.14,66.2,,104.17,170,,1
21701,39.4435839,-77.3328915,60.39,84.11,66.9,,,,No route found,2
21702,39.4792511,-77.4431943,69.11,80.03,65.8,,,,No route found,1
20723,39.1376783,-76.8679423,18.36,25.53,23.6,,,,No route found,10
21784,39.4010843,-76.973736,46.12,67.63,55.3,,,,No route found,1
20874,39.1330557,-77.3018279,34.16,45.66,48.7,,,,No route found,5
20837,39.116506,-77.407115,41.71,51.68,57.4,,,,No route found,1
20832,39.1503487,-77.0782506,21.13,27.84,34.9,,39.12,104,,7
20637,38.525112,-76.7559887,54.11,74.46,62.9,,,,No route found,1
20712,38.9423613,-76.9645782,5.01,6.34,12.7,,8.43,64,,2
21666,38.940139,-76.3357899,53.7,71.68,55.5,,,,No route found,4
20818,38.973486,-77.1623891,18.07,26.69,33.8,,41.87,88,,1
20777,39.174938,-76.969085,20.98,27.43,34.2,,,,No route found,1
21244,39.3350046,-76.7767055,41.64,58.26,51.5,,,,No route found,4
20659,38.4078939,-76.7320447,67.17,87.96,70.4,,,,No route found,1
20817,38.9972787,-77.1518162,17.14,25.23,33,,39.01,111,,2
20785,38.9182912,-76.8819478,9.83,14.36,21.7,,19.12,82,,6
20646,38.5206527,-76.9999154,51.97,71.6,63.3,,,,No route found,2
21054,39.0555925,-76.6904995,24.02,40.38,39.7,,,,No route found,3
20905,39.1098657,-76.9880769,14.02,19.23,28.6,,25.3,110,,2
20748,38.8148678,-76.933447,19.18,39.47,36.4,,38.35,101,,5
21777,39.2792959,-77.5287272,59.3,87.53,66.4,,66.86,110,,1
21074,39.6215986,-76.8399309,71.28,95.02,80.1,,,,No route found,1
20716,38.9264277,-76.715028,21.72,30.86,28,,58.15,134,,10
21035,38.9382997,-76.6265878,28.81,38.14,33.4,,,,No route found,1
20695,38.5877672,-76.9787999,44.4,65.75,58.7,,,,No route found,5
20639,38.6012413,-76.6054764,52.43,66.37,55.5,,105.96,222,,3
21658,38.9442683,-76.143938,70.19,88.92,62.8,,,,No route found,1
20879,39.1672978,-77.1641467,27.07,36.09,39.5,,57.46,122,,3
20720,38.9963755,-76.7833773,14.78,17.78,25.9,,,,No route found,5
21229,39.2842394,-76.6914035,40.1,49.97,42.6,,64.86,126,,3
21214,39.3521433,-76.5643317,52.73,66.73,62.5,,73.43,131,,1
21207,39.3241672,-76.7194841,42.63,57.47,46.7,,69.65,138,,2
20747,38.8533085,-76.8830285,16.04,30.28,30.4,,39.38,92,,4
21032,39.0283428,-76.6041445,30.58,44.25,42.9,,,,No route found,1
20855,39.136974,-77.1318007,22.7,26.92,27.5,,52.81,107,,2
20772,38.7802744,-76.7669897,28.08,37.63,38.3,,,,No route found,23
21771,39.3949368,-77.1581933,48.69,78.13,60.9,,,,No route found,2
20678,38.5251117,-76.5954004,60,75.39,63,,87.81,160,,4
20707,39.0955933,-76.8838771,13.54,16.69,23.8,,30.91,82,,7
21613,38.502789,-76.0788747,93.03,144.69,107.9,,,,No route found,1
20901,39.0214946,-77.0097789,6.19,8.81,16.1,,8.56,38,,5
20774,38.8762553,-76.7696026,20.12,27.84,30.3,,45.5,109,,26
20871,39.258885,-77.2818288,41.43,51.02,46.8,,76.86,146,,4
20853,39.101747,-77.0946025,17.65,24.03,28.6,,35.74,91,,3
20758,38.7340047,-76.5896162,42.24,55.11,47.9,,,,No route found,1
21090,39.2095672,-76.6647411,35.18,43.96,44.9,,76.31,135,,1
20708,39.0425507,-76.8264852,12.65,18.89,23.5,,23.96,105,,7
20715,38.9868059,-76.7362659,18.82,24.33,34.8,,37.9,92,,6
30338,33.9462178,-84.3181187,864.2,1030.05,592.1,,1056.75,969,,1
36830,32.5348722,-85.4937549,1051.87,1225.33,682.3,,,,No route found,1
33414,26.6467214,-80.2503111,1405.99,1613.22,862.8,,,,No route found,1
33542,28.2357797,-82.1776172,1288.96,1423.33,794.5,,,,No route found,1
32832,28.4002479,-81.1765617,1239.86,1406.52,758.6,,,,No route found,1
32905,28.0313656,-80.6004137,1263.89,1438.92,772.5,,,,No route found,1
30328,33.9332589,-84.386656,869.83,1036.33,594.1,,1050.01,965,,1
32708,28.6880636,-81.2699615,1212.12,1369.67,737.5,,,,No route found,1
34655,28.2113534,-82.6552857,1308.6,1460.49,815.3,,,,No route found,1
33136,25.7872469,-80.205296,1498.81,1703.98,919.1,,2100.22,1786,,1
27703,35.9612861,-78.805228,373.95,437.55,269,,,,No route found,1
28466,34.7407699,-77.8757024,479.18,553.48,342.9,,,,No route found,1
28374,35.1892803,-79.4590707,477.09,551.16,340,,,,No route found,1
43205,39.9573416,-82.9620189,526.77,639.23,372.6,,,,No route found,1
44320,41.0731401,-81.5824138,457.21,563.17,328.6,,,,No route found,1
44011,41.4451003,-82.0051085,508.47,612.62,355.4,,,,No route found,1
25427,39.5204188,-78.0991211,115.09,152.78,111,,,,No route found,1
25413,39.3105884,-78.0559477,101.62,133.07,103.6,,,,No route found,1
25414,39.2417936,-77.8648488,83.55,117.71,86.2,,,,No route found,1
25314,38.2891613,-81.6601531,416,588.99,339.5,,,,No route found,1
19958,38.7287137,-75.1685073,157.23,186.53,138.9,,,,No route found,1
19808,39.7376151,-75.6670572,138.61,158.8,112,,209.47,184,,1
89117,36.140961,-115.281091,3368.1,3884.77,2049.9,,4457.72,3551,,1
97221,45.4965552,-122.7304527,3784.31,4523.94,2387.4,,4864.04,3933,,1
